x1,x2,val
-6.273333,2.610000,0.097293
-6.273333,2.613333,0.094668
-6.273333,2.616667,0.091985
-6.273333,2.620000,0.089240
-6.273333,2.623333,0.086420
-6.273333,2.626667,0.088151
-6.273333,2.630000,0.077831
-6.273333,2.633333,0.075409
-6.273333,2.636667,0.072894
-6.273333,2.640000,0.079970
-6.273333,2.643333,0.076233
-6.273333,2.646667,0.079461
-6.273333,2.650000,0.079400
-6.273333,2.653333,0.076611
-6.273333,2.656667,0.079699
-6.273333,2.660000,0.080058
-6.273333,2.663333,0.080551
-6.273333,2.666667,0.081181
-6.273333,2.670000,0.081934
-6.273333,2.673333,0.082814
-6.273333,2.676667,0.083832
-6.273333,2.680000,0.084961
-6.273333,2.683333,0.086209
-6.273333,2.686667,0.087560
-6.273333,2.690000,0.089015
-6.273333,2.693333,0.098335
-6.273333,2.696667,0.099840
-6.266667,2.600000,0.096142
-6.266667,2.603333,0.094131
-6.266667,2.606667,0.091433
-6.266667,2.610000,0.088683
-6.266667,2.613333,0.085886
-6.266667,2.616667,0.083022
-6.266667,2.620000,0.087365
-6.266667,2.623333,0.074243
-6.266667,2.626667,0.071725
-6.266667,2.630000,0.069147
-6.266667,2.633333,0.074570
-6.266667,2.636667,0.074006
-6.266667,2.640000,0.073582
-6.266667,2.643333,0.073312
-6.266667,2.646667,0.073182
-6.266667,2.650000,0.073213
-6.266667,2.653333,0.073393
-6.266667,2.656667,0.073726
-6.266667,2.660000,0.074206
-6.266667,2.663333,0.074843
-6.266667,2.666667,0.075609
-6.266667,2.670000,0.076521
-6.266667,2.673333,0.077577
-6.266667,2.676667,0.078753
-6.266667,2.680000,0.080058
-6.266667,2.683333,0.081473
-6.266667,2.686667,0.083005
-6.266667,2.690000,0.092311
-6.266667,2.693333,0.093886
-6.266667,2.696667,0.095560
-6.260000,2.600000,0.088564
-6.260000,2.603333,0.085753
-6.260000,2.606667,0.082889
-6.260000,2.610000,0.079979
-6.260000,2.613333,0.076981
-6.260000,2.616667,0.077861
-6.260000,2.620000,0.068478
-6.260000,2.623333,0.065805
-6.260000,2.626667,0.063043
-6.260000,2.630000,0.068769
-6.260000,2.633333,0.064832
-6.260000,2.636667,0.067539
-6.260000,2.640000,0.067177
-6.260000,2.643333,0.063789
-6.260000,2.646667,0.066943
-6.260000,2.650000,0.067073
-6.260000,2.653333,0.067385
-6.260000,2.656667,0.067864
-6.260000,2.660000,0.068495
-6.260000,2.663333,0.069295
-6.260000,2.666667,0.070240
-6.260000,2.670000,0.071331
-6.260000,2.673333,0.072571
-6.260000,2.676667,0.073942
-6.260000,2.680000,0.075442
-6.260000,2.683333,0.077051
-6.260000,2.686667,0.078786
-6.260000,2.690000,0.088014
-6.260000,2.693333,0.089781
-6.260000,2.696667,0.091639
-6.253333,2.600000,0.080308
-6.253333,2.603333,0.077341
-6.253333,2.606667,0.074314
-6.253333,2.610000,0.077389
-6.253333,2.613333,0.074772
-6.253333,2.616667,0.062964
-6.253333,2.620000,0.060125
-6.253333,2.623333,0.064060
-6.253333,2.626667,0.063055
-6.253333,2.630000,0.062223
-6.253333,2.633333,0.061554
-6.253333,2.636667,0.061068
-6.253333,2.640000,0.060782
-6.253333,2.643333,0.060670
-6.253333,2.646667,0.060767
-6.253333,2.650000,0.061043
-6.253333,2.653333,0.061511
-6.253333,2.656667,0.062154
-6.253333,2.660000,0.062975
-6.253333,2.663333,0.063970
-6.253333,2.666667,0.065121
-6.253333,2.670000,0.066425
-6.253333,2.673333,0.067879
-6.253333,2.676667,0.069465
-6.253333,2.680000,0.071171
-6.253333,2.683333,0.073009
-6.253333,2.686667,0.082238
-6.253333,2.690000,0.084108
-6.253333,2.693333,0.086063
-6.253333,2.696667,0.088108
-6.246667,2.600000,0.072104
-6.246667,2.603333,0.068965
-6.246667,2.606667,0.068708
-6.246667,2.610000,0.060734
-6.246667,2.613333,0.057807
-6.246667,2.616667,0.054811
-6.246667,2.620000,0.058627
-6.246667,2.623333,0.054539
-6.246667,2.626667,0.056423
-6.246667,2.630000,0.055617
-6.246667,2.633333,0.052992
-6.246667,2.636667,0.054610
-6.246667,2.640000,0.054418
-6.246667,2.643333,0.054457
-6.246667,2.646667,0.054698
-6.246667,2.650000,0.055153
-6.246667,2.653333,0.055810
-6.246667,2.656667,0.056667
-6.246667,2.660000,0.057718
-6.246667,2.663333,0.058945
-6.246667,2.666667,0.060327
-6.246667,2.670000,0.061884
-6.246667,2.673333,0.063568
-6.246667,2.676667,0.065396
-6.246667,2.680000,0.067348
-6.246667,2.683333,0.076572
-6.246667,2.686667,0.078556
-6.246667,2.690000,0.080630
-6.246667,2.693333,0.082784
-6.246667,2.696667,0.085030
-6.240000,2.600000,0.068697
-6.240000,2.603333,0.065725
-6.240000,2.606667,0.056174
-6.240000,2.610000,0.053112
