p1,p2,x1,x2,time
-28.2639,-3.41663,-3.26853,-12.2351,0.915394
-28.3318,-3.33851,-3.3118,-12.2471,0.918928
-28.3996,-3.2604,-3.3551,-12.2587,0.922463
-28.4674,-3.18232,-3.39845,-12.2701,0.925997
-28.535,-3.10425,-3.44184,-12.2812,0.929531
-28.6026,-3.0262,-3.48526,-12.292,0.933066
-28.6702,-2.94818,-3.52873,-12.3026,0.9366
-28.7376,-2.87017,-3.57223,-12.3129,0.940134
-28.805,-2.79219,-3.61576,-12.3229,0.943669
-28.8723,-2.71423,-3.65933,-12.3326,0.947203
-28.9396,-2.63629,-3.70294,-12.3421,0.950737
-29.0068,-2.55837,-3.74657,-12.3513,0.954272
-29.074,-2.48048,-3.79024,-12.3602,0.957806
-29.141,-2.40261,-3.83394,-12.3688,0.96134
-29.2081,-2.32477,-3.87767,-12.3771,0.964875
-29.275,-2.24695,-3.92143,-12.3852,0.968409
-29.342,-2.16916,-3.96522,-12.393,0.971943
-29.4088,-2.0914,-4.00904,-12.4006,0.975478
-29.4757,-2.01367,-4.05288,-12.4078,0.979012
-29.5425,-1.93596,-4.09674,-12.4148,0.982546
-29.6092,-1.85828,-4.14063,-12.4215,0.986081
-29.6759,-1.78064,-4.18454,-12.4279,0.989615
-29.7425,-1.70302,-4.22848,-12.4341,0.993149
-29.8091,-1.62543,-4.27244,-12.44,0.996684
-29.8716,-1.55267,-4.3137,-12.4452,1
