x1,x2,val
-22.000000,4.666667,1.166933
-22.000000,5.000000,1.168056
-22.000000,5.333333,1.170005
-22.000000,5.666667,1.176949
-22.000000,6.000000,1.175010
-22.000000,6.333333,1.176865
-22.000000,6.666667,1.180257
-22.000000,7.000000,1.179234
-22.000000,7.333333,1.180367
-22.000000,7.666667,1.180322
-22.000000,8.000000,1.186124
-22.000000,8.333333,1.187516
-22.000000,8.666667,1.188797
-22.000000,9.000000,1.189927
-22.000000,9.333333,1.193032
-22.000000,9.666667,1.193717
-21.000000,0.000000,1.130321
-21.000000,0.333333,1.127775
-21.000000,0.666667,1.130491
-21.000000,1.000000,1.132834
-21.000000,1.333333,1.134721
-21.000000,1.666667,1.138812
-21.000000,2.000000,1.138378
-21.000000,2.333333,1.142901
-21.000000,2.666667,1.141603
-21.000000,3.000000,1.145703
-21.000000,3.333333,1.147018
-21.000000,3.666667,1.148090
-21.000000,4.000000,1.150728
-21.000000,4.333333,1.151229
-21.000000,4.666667,1.153005
-21.000000,5.000000,1.159375
-21.000000,5.333333,1.158490
-21.000000,5.666667,1.162084
-21.000000,6.000000,1.161414
-21.000000,6.333333,1.163269
-21.000000,6.666667,1.164267
-21.000000,7.000000,1.165803
-21.000000,7.333333,1.167100
-21.000000,7.666667,1.168739
-21.000000,8.000000,1.171184
-21.000000,8.333333,1.172196
-21.000000,8.666667,1.173460
-21.000000,9.000000,1.176173
-21.000000,9.333333,1.177216
-21.000000,9.666667,1.179481
-20.000000,0.000000,1.119438
-20.000000,0.333333,1.118582
-20.000000,0.666667,1.120771
-20.000000,1.000000,1.122546
-20.000000,1.333333,1.122079
-20.000000,1.666667,1.125696
-20.000000,2.000000,1.124342
-20.000000,2.333333,1.128044
-20.000000,2.666667,1.132519
-20.000000,3.000000,1.131580
-20.000000,3.333333,1.134683
-20.000000,3.666667,1.137461
-20.000000,4.000000,1.140383
-20.000000,4.333333,1.144313
-20.000000,4.666667,1.145610
-20.000000,5.000000,1.144589
-20.000000,5.333333,1.145742
-20.000000,5.666667,1.147053
-20.000000,6.000000,1.148433
-20.000000,6.333333,1.148532
-20.000000,6.666667,1.151108
-20.000000,7.000000,1.152143
-20.000000,7.333333,1.153014
-20.000000,7.666667,1.157098
-20.000000,8.000000,1.155937
-20.000000,8.333333,1.157058
-20.000000,8.666667,1.154849
-20.000000,9.000000,1.159924
-20.000000,9.333333,1.161275
-20.000000,9.666667,1.162470
-19.000000,0.000000,1.108449
-19.000000,0.333333,1.107052
-19.000000,0.666667,1.108966
-19.000000,1.000000,1.110142
-19.000000,1.333333,1.112575
-19.000000,1.666667,1.114693
-19.000000,2.000000,1.116781
-19.000000,2.333333,1.118669
-19.000000,2.666667,1.120813
-19.000000,3.000000,1.121567
-19.000000,3.333333,1.124021
-19.000000,3.666667,1.125031
-19.000000,4.000000,1.129394
-19.000000,4.333333,1.127244
-19.000000,4.666667,1.130508
-19.000000,5.000000,1.129993
-19.000000,5.333333,1.130609
-19.000000,5.666667,1.132843
-19.000000,6.000000,1.132584
-19.000000,6.333333,1.134189
-19.000000,6.666667,1.135013
-19.000000,7.000000,1.136150
-19.000000,7.333333,1.137733
-19.000000,7.666667,1.140194
-19.000000,8.000000,1.139939
-19.000000,8.333333,1.138400
-19.000000,8.666667,1.141835
-19.000000,9.000000,1.143795
-19.000000,9.333333,1.143832
-19.000000,9.666667,1.143857
-18.000000,0.000000,1.096696
-18.000000,0.333333,1.095151
-18.000000,0.666667,1.097421
-18.000000,1.000000,1.098698
-18.000000,1.333333,1.101402
-18.000000,1.666667,1.102070
-18.000000,2.000000,1.104122
-18.000000,2.333333,1.105129
-18.000000,2.666667,1.105678
-18.000000,3.000000,1.111747
-18.000000,3.333333,1.112511
-18.000000,3.666667,1.113074
-18.000000,4.000000,1.114210
-18.000000,4.333333,1.112625
-18.000000,4.666667,1.114207
-18.000000,5.000000,1.114923
-18.000000,5.333333,1.114548
