X,Y,time
-0.608041,-1.96228,8.23546
-0.639293,-1.95424,8.2515
-0.670581,-1.94551,8.26763
-0.701888,-1.9361,8.28385
-0.7332,-1.92598,8.30015
-0.7645,-1.91515,8.31653
-0.795775,-1.9036,8.33299
-0.827012,-1.89131,8.34953
-0.858199,-1.87827,8.36616
-0.889322,-1.86448,8.38288
-0.92037,-1.84991,8.39969
-0.951333,-1.83457,8.41659
-0.9822,-1.81843,8.43358
-1.01296,-1.80149,8.45068
-1.0436,-1.78374,8.46787
-1.07412,-1.76516,8.48518
-1.1045,-1.74574,8.5026
-1.13474,-1.72546,8.52014
-1.16482,-1.70433,8.53781
-1.19474,-1.68231,8.55562
-1.22449,-1.65939,8.57357
-1.25407,-1.63556,8.59167
-1.28345,-1.6108,8.60993
-1.31264,-1.58509,8.62837
-1.34162,-1.55841,8.647
-1.3704,-1.53074,8.66583
-1.39896,-1.50204,8.68488
-1.42729,-1.47229,8.70417
-1.45539,-1.44146,8.72372
-1.48326,-1.40951,8.74355
-1.51088,-1.37639,8.76369
-1.53826,-1.34206,8.78418
-1.56539,-1.30644,8.80505
-1.59228,-1.26947,8.82636
-1.61892,-1.23106,8.84816
-1.64532,-1.19108,8.87054
-1.67151,-1.14939,8.89358
-1.69749,-1.10579,8.91744
-1.72333,-1.06,8.94232
-1.7491,-1.01162,8.96854
-1.77495,-0.95998,8.99668
-1.80118,-0.903881,9.02421
-1.8253,-0.848455,9.05025
-1.8467,-0.79557,9.07495
-1.86573,-0.745059,9.09849
-1.8827,-0.696663,9.12103
-1.89788,-0.650162,9.14266
-1.91146,-0.605381,9.1635
-1.92362,-0.562177,9.1836
-1.9345,-0.52044,9.20302
-1.94422,-0.480081,9.22182
-1.95288,-0.441028,9.24003
-1.96057,-0.403226,9.25767
-1.96736,-0.366632,9.27478
-1.97332,-0.331214,9.29135
-1.97853,-0.296951,9.30741
-1.98303,-0.263831,9.32295
-1.98688,-0.231853,9.33796
-1.99013,-0.201026,9.35245
-1.99283,-0.171371,9.36639
-1.99502,-0.142924,9.37975
-1.99675,-0.115741,9.39249
-1.99806,-0.0899041,9.40454
-1.999,-0.0655387,9.41581
-1.99961,-0.0428381,9.42611
-1.99994,-0.0221331,9.43511
-2.00004,-0.00929648,9.44265
-2.00006,0.0057898,9.4495
-1.99997,0.0194582,9.4582
-1.99972,0.0367988,9.46808
-1.99926,0.0564028,9.47881
-1.99854,0.0776365,9.49022
-1.99753,0.100134,9.5022
-1.99619,0.123653,9.51466
-1.9945,0.14802,9.52755
-1.99243,0.173102,9.54082
-1.98996,0.198796,9.55444
-1.98707,0.225017,9.56837
-1.98375,0.251694,9.58258
-1.97998,0.278769,9.59707
-1.97574,0.306188,9.61181
